Player,Country,Position,Goals,Minutes Played,Assists,Attempts On Target,Attempts At Goal,Attempts At Goal Conv. Rate (%),Attempts Inside the Penalty Area,Attempts Outside the Penalty Area,Headed Attempts at Goal,xG,xG Efficiency,Corners,Passes,Passes Completed,Passing Accuracy (%),Crosses,Crossing Accuracy (%),Take-Ons Completed,Defensive Linebreaks Attempted,Defensive Linebreaks Acc (%),Switches of Play Attempted,Switches of Play Acc (%),Own Goals,Forced Turnovers,Defensive Pressures Applied,Defensive Pressures Directly Applied,Fouls Against,Fouls For,Yellow Cards,Red Cards,Indirect Red Cards,Offsides,Goalkeeper Saves,Goalkeeper Actions Inside the Penalty Area,Goalkeeper Actions Outside the Penalty Area,Offers To Receive,Offers In Behind,Offers In Between,Offers In Front,Offers Inside Team Shape,Offers Outside Team Shape,Receptions In Behind,Receptions Between Midfield And Defensive Line,Receptions Under Pressure,Player Involvements,Average Speed (km/h),High Speed Running,Sprints,Total Distance (m),Attacking Impact Score,Passing Impact Score,Defensive Impact Score,Movement Impact Score,Goalkeeping Impact Score,Cluster,Player Archetype,Overall Performance Score,Performance Rating,Goalkeeping Rating,PC1,PC2
Cherif Ndiaye,SEN,FW,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.631956563153904,-3.2142549945655188,,2,Limited Tournament Impact,0.0,0.0,,-1.8491850714187297,0.31666064731001287
Cho Guesung,KOR,FW,0.0,41.0,0,1,2,0,2,0,2,0.51,0.0,0,7,4,57,0,0,0,0,0,0,0,0,4,13,1,1,0,1,0,0,0,,,,16,11,5,0,10,6,2,8,7,19,4.22,37,22,4408.36,0.3602398974301021,-1.956108626910062,-1.1770453346928331,-1.9085450891170552,,2,Limited Tournament Impact,0.22228955608729,6.8,,-1.062987115967735,0.7286141238022017
Cho Wije,KOR,DF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.631956563153904,-3.2142549945655188,,2,Limited Tournament Impact,0.0,0.0,,-1.8491850714187297,0.31666064731001287
Chris Brady,USA,GK,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.631956563153904,-3.2142549945655188,-1.2038479457474982,-1,Goalkeeper,0.0,0.0,0.0,-1.8491850714187297,0.31666064731001287
Chris Richards,USA,DF,0.0,419.0,0,0,1,0,1,0,1,0.06,0.0,0,291,277,95,0,0,0,2,0,2,100,0,4,22,11,8,3,1,0,0,0,,,,32,2,1,29,21,11,0,1,39,597,4.91,486,97,42886.99,-0.756632256439614,2.0036790298524334,0.0547850083340654,0.8384465481383581,,0,Balanced Contributors,0.7722519181201202,23.7,,0.4873236656527399,-0.7202577051593486
Chris Wood,NZL,FW,0.0,306.0,2,2,5,0,3,2,2,0.47,0.0,0,47,36,77,0,0,2,8,13,0,0,0,8,88,5,2,1,0,0,0,4,,,,108,48,59,1,77,31,0,54,55,119,6.11,333,144,31195.3,2.2767151094701763,-0.497767115782386,0.3217345150622296,2.5733811720428954,,1,Dynamic Attackers,0.8161690892507583,25.1,,0.840843104430704,0.7849470841406723
Christ Inao Oulai,CIV,MF,0.0,240.0,0,0,2,0,1,1,0,0.13,0.0,0,125,115,92,0,0,4,4,100,3,100,0,21,82,20,3,5,0,0,0,0,,,,76,1,36,39,37,39,0,22,58,286,6.06,261,70,24246.36,-0.6425516449929293,2.160078198980952,2.677473169468328,1.1492646371972233,,3,Complete Midfielders,1.0662832540126428,32.8,,1.3678102135059356,-0.9911160487040909
Christian Fassnacht,SUI,FW,0.0,12.0,0,0,0,0,0,0,0,0.0,0.0,0,5,5,100,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,,,,3,0,3,0,2,1,1,5,6,12,1.42,31,14,1743.81,-1.3243189297858935,-1.61121546324101,-1.4201210684161072,-2.6797624552031927,,2,Limited Tournament Impact,0.1185823230922891,3.6,,-1.4966087465240132,0.10105646447963554
Christian Pulisic,USA,FW,0.0,253.0,1,2,4,0,2,2,0,0.42,0.0,1,81,71,88,6,17,8,7,71,0,0,0,8,73,9,1,6,0,0,0,2,,,,177,57,90,30,80,97,4,47,66,211,5.62,380,137,29436.84,1.1257354475298524,1.3242668163443974,1.262171304502278,4.441741300668322,,3,Complete Midfielders,1.1183978562645536,34.4,,1.6510906529140719,-0.18169683449475688
Christopher Bonsu Baah,GHA,FW,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.631956563153904,-3.2142549945655188,,2,Limited Tournament Impact,0.0,0.0,,-1.8491850714187297,0.31666064731001287
