Player,Country,Position,Goals,Minutes Played,Assists,Attempts On Target,Attempts At Goal,Attempts At Goal Conv. Rate (%),Attempts Inside the Penalty Area,Attempts Outside the Penalty Area,Headed Attempts at Goal,xG,xG Efficiency,Corners,Passes,Passes Completed,Passing Accuracy (%),Crosses,Crossing Accuracy (%),Take-Ons Completed,Defensive Linebreaks Attempted,Defensive Linebreaks Acc (%),Switches of Play Attempted,Switches of Play Acc (%),Own Goals,Forced Turnovers,Defensive Pressures Applied,Defensive Pressures Directly Applied,Fouls Against,Fouls For,Yellow Cards,Red Cards,Indirect Red Cards,Offsides,Goalkeeper Saves,Goalkeeper Actions Inside the Penalty Area,Goalkeeper Actions Outside the Penalty Area,Offers To Receive,Offers In Behind,Offers In Between,Offers In Front,Offers Inside Team Shape,Offers Outside Team Shape,Receptions In Behind,Receptions Between Midfield And Defensive Line,Receptions Under Pressure,Player Involvements,Average Speed (km/h),High Speed Running,Sprints,Total Distance (m),PC1,PC2
Eom Jisung,KOR,MF,0.0,53.0,0,0,0,0,0,0,0,0.0,0.0,0,9,9,100,3,67,2,2,100,0,0,0,0,2,0,0,1,0,0,0,0,,,,15,7,6,2,4,11,2,5,3,23,4.64,72,36,6234.99,-1.3243189297858935,-0.023297763363791982
Eray Coemert,SUI,DF,0.0,39.0,0,0,0,0,0,0,0,0.0,0.0,0,5,5,100,0,0,0,0,0,0,0,0,1,9,1,0,0,0,0,0,0,,,,2,1,0,1,1,1,0,0,2,13,1.0,32,11,3959.81,-1.3243189297858935,-0.023297763363791982
Eren Elmali,TUR,DF,0.0,134.0,0,0,0,0,0,0,0,0.0,0.0,0,59,52,88,4,25,2,1,100,1,100,0,4,26,3,2,1,1,0,0,0,,,,26,12,11,3,11,15,3,8,30,121,4.45,135,60,14528.21,-1.3243189297858935,-0.023297763363791982
Eric Davis,PAN,DF,0.0,14.0,0,0,1,0,0,1,0,0.0,0.0,2,7,3,43,3,33,0,2,0,0,0,0,1,1,1,0,1,0,0,0,0,,,,5,1,4,0,2,3,0,2,4,18,4.82,30,18,1809.13,-0.8947770294679409,-0.22466315501207906
Eric Garcia,ESP,DF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-0.023297763363791982
Eric Smith,SWE,DF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-0.023297763363791982
Erik Lira,MEX,MF,0.0,391.0,1,0,0,0,0,0,0,0.0,0.0,0,199,182,91,2,100,2,2,0,5,100,0,17,81,26,3,4,0,0,0,0,,,,139,4,59,76,105,34,1,11,46,425,5.34,497,137,43502.52,-0.9160271656025611,-0.21184803781213754
Erling Haaland,NOR,FW,7.0,537.0,0,12,19,37,18,1,7,4.62,1.51,0,47,34,72,1,0,1,4,25,0,0,0,11,108,5,5,3,0,0,0,0,,,,73,51,22,0,59,14,8,64,68,171,4.61,375,172,49468.92,16.243998841658964,-0.5020371788952998
Ermedin Demirovic,BIH,FW,0.0,399.0,0,4,4,0,1,3,0,0.08,0.0,0,39,29,74,0,0,1,5,80,0,0,0,19,131,15,11,3,1,0,0,1,,,,106,67,31,8,82,24,3,36,53,112,6.09,375,176,40423.23,0.9107150469752554,-0.7949980298376688
Ermin Mahmic,BIH,MF,2.0,88.0,0,2,4,50,2,2,0,0.34,5.88,0,16,12,75,1,0,0,0,0,1,100,0,1,41,3,1,1,1,0,0,0,,,,35,13,16,6,26,9,0,6,5,45,5.34,155,57,10657.09,2.666126185892372,3.9273334952070162
Ernest Nuamah,GHA,FW,0.0,109.0,1,0,0,0,0,0,0,0.0,0.0,0,29,20,69,0,0,2,2,50,1,100,0,2,58,6,2,2,0,0,0,0,,,,22,7,12,3,12,10,2,15,27,74,4.98,148,60,12051.38,-0.9160271656025611,-0.21184803781213754
Esmir Bajraktarevic,BIH,FW,0.0,262.0,0,2,3,0,1,2,0,0.11,0.0,1,71,58,82,8,0,3,0,0,0,0,0,16,85,8,1,2,0,0,0,0,,,,106,45,48,13,40,66,5,35,61,180,6.49,318,145,28616.79,0.20035851160248339,-0.583780498633067
Evan Ndicka,CIV,DF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-0.023297763363791982
Evann Guessand,CIV,FW,0.0,27.0,0,0,1,0,1,0,1,0.14,0.0,0,5,4,80,0,0,0,0,0,0,0,0,2,9,2,1,0,0,0,0,0,,,,3,2,1,0,3,0,0,8,7,14,2.82,32,14,2736.85,-0.6943705312413153,-0.2574985073585128
Evidence Makgopa,RSA,FW,0.0,241.0,0,3,4,0,4,0,2,0.42,0.0,0,29,20,69,0,0,0,1,100,0,0,0,15,76,9,1,1,0,0,0,2,,,,43,32,10,1,35,8,3,30,28,77,6.21,319,106,25410.78,1.3331565701467372,-0.8891081779695904
Exequiel Palacios,ARG,MF,0.0,100.0,0,0,0,0,0,0,0,0.0,0.0,0,94,89,95,0,0,0,0,0,0,0,0,1,5,1,1,1,0,0,0,0,,,,18,3,4,11,7,11,1,4,21,190,1.0,113,37,10029.01,-1.3243189297858935,-0.023297763363791982
Ezri Konsa,ENG,DF,0.0,637.0,0,1,2,0,2,0,1,0.26,0.0,0,440,423,96,3,0,1,3,100,3,67,0,14,58,16,7,11,0,0,0,0,,,,125,4,8,113,66,59,0,3,54,859,5.7,549,160,57635.86,-0.07949738666150684,-0.4454377457125321
Fabian Balbuena,PAR,DF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,1.55,2,1,90.04,-1.3243189297858935,-0.023297763363791982
Fabian Rieder,SUI,MF,0.0,332.0,0,2,7,0,4,3,0,1.09,0.0,8,87,71,82,16,0,2,10,40,2,100,0,19,210,30,3,6,0,0,0,0,,,,172,48,110,14,106,66,7,56,82,232,6.04,566,179,38929.3,2.5319967693336167,-1.4793087169400747
Fabian Ruiz,ESP,MF,1.0,301.0,0,2,8,13,4,4,1,1.33,0.75,0,246,220,89,7,29,0,11,64,3,100,0,7,67,6,1,3,0,0,0,0,,,,262,38,116,108,174,88,2,36,77,534,7.02,433,98,34605.27,3.4834351001819086,-0.5118415455854403
Fabinho,BRA,MF,0.0,95.0,0,0,1,0,1,0,1,0.02,0.0,0,43,42,98,0,0,0,0,0,0,0,0,1,24,5,4,0,1,0,0,0,,,,34,0,12,22,29,5,0,1,11,93,3.79,117,36,9907.51,-0.7877631190387633,-0.22973504331454087
Facundo Medina,ARG,DF,0.0,283.0,1,0,0,0,0,0,0,0.0,0.0,0,139,131,94,4,50,0,1,100,0,0,0,12,58,14,3,2,1,0,0,1,,,,124,41,33,50,25,99,5,19,41,281,3.96,330,104,29270.89,-0.9160271656025611,-0.21184803781213754
Facundo Pellistri,URU,FW,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-0.023297763363791982
Fahad Talib,IRQ,GK,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-0.023297763363791982
Fares Chaibi,ALG,MF,0.0,403.0,0,3,9,0,4,5,1,0.64,0.0,4,244,220,90,7,0,3,10,50,3,100,0,30,140,16,3,2,1,0,0,1,,,,202,38,84,80,121,81,4,46,102,535,6.76,549,177,45534.2,3.032603706466335,-1.7154532200680754
Fares Ghedjemis,ALG,FW,0.0,2.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,1.62,5,4,300.02,-1.3243189297858935,-0.023297763363791982
Farrukh Sayfiev,UZB,DF,0.0,55.0,0,0,0,0,0,0,0,0.0,0.0,0,14,12,86,1,0,1,2,100,0,0,0,1,5,0,0,2,0,0,0,0,,,,5,2,2,1,1,4,3,4,13,29,2.07,71,31,5770.14,-1.3243189297858935,-0.023297763363791982
Federico Valverde,URU,MF,0.0,272.0,0,2,10,0,3,7,0,0.5,0.0,2,120,98,82,8,0,2,12,67,5,100,0,19,76,8,1,0,0,0,0,0,,,,82,24,33,25,37,45,3,32,60,281,5.78,228,99,25916.6,2.6417668216573706,-1.6942359207797362
Federico Vinas,URU,FW,0.0,211.0,0,3,6,0,6,0,5,0.39,0.0,0,29,18,62,0,0,0,1,0,0,0,0,12,63,6,3,3,0,0,0,3,,,,106,58,42,6,80,26,4,21,29,82,5.73,195,102,20225.71,2.5969585749394115,-1.3720883154237724
Felix Nmecha,GER,MF,1.0,299.0,1,3,8,13,3,5,0,0.49,2.04,0,131,120,92,2,0,5,4,75,1,0,0,9,74,21,3,3,0,0,0,0,,,,113,38,47,28,73,40,3,26,66,313,6.64,442,141,33325.14,3.3719241436164795,-0.04924401363986034
Felix Torres,ECU,DF,0.0,12.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,1.15,5,0,989.25,-1.3243189297858935,-0.023297763363791982
Feras Albrikan,KSA,FW,0.0,262.0,0,0,0,0,0,0,0,0.0,0.0,0,51,32,63,0,0,0,5,0,0,0,0,11,150,11,2,3,1,0,0,0,,,,51,27,23,1,33,18,2,38,41,108,6.49,328,123,28286.37,-1.3243189297858935,-0.023297763363791982
Ferdi Kadioglu,TUR,DF,0.0,179.0,0,0,1,0,0,1,0,0.04,0.0,0,175,161,92,4,0,1,9,78,1,0,0,0,16,7,0,3,0,0,0,0,,,,97,30,33,34,36,61,2,32,41,353,4.36,218,101,19552.43,-0.9884170724416449,-0.18555742014499269
Fernando Muslera,URU,GK,0.0,261.0,0,0,0,0,0,0,0,0.0,0.0,0,71,57,80,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,41.0,34.0,28,0,0,28,19,9,0,0,0,144,2.5,22,7,11069.12,-1.3243189297858935,-0.023297763363791982
Ferran Torres,ESP,FW,0.0,274.0,1,2,11,0,10,1,4,2.28,0.0,0,76,58,76,5,0,2,11,45,0,0,0,8,80,11,5,2,1,0,0,2,,,,195,94,74,27,161,34,10,81,57,218,6.46,289,155,28737.7,5.39340957505151,-2.481987133268266
Fidel Escobar,PAN,DF,0.0,98.0,0,0,0,0,0,0,0,0.0,0.0,0,27,20,74,1,100,0,1,100,1,0,0,2,16,5,1,0,0,0,0,0,,,,8,2,3,3,1,7,0,1,20,52,1.93,106,45,9536.99,-1.3243189297858935,-0.023297763363791982
Findlay Curtis,SCO,FW,0.0,21.0,0,0,0,0,0,0,0,0.0,0.0,0,2,2,100,2,0,1,1,100,0,0,0,1,12,0,1,0,1,0,0,0,,,,8,5,3,0,2,6,0,2,3,9,5.61,35,16,2919.32,-1.3243189297858935,-0.023297763363791982
Finn Surman,NZL,DF,1.0,306.0,0,1,2,50,2,0,2,0.24,4.18,0,145,135,93,0,0,0,1,100,0,0,0,5,28,11,4,1,0,0,0,0,,,,60,0,0,60,21,39,0,4,24,310,6.05,310,103,30931.08,1.5902523496149763,3.2576919775803863
Firas Chaouat,TUN,FW,0.0,66.0,0,0,0,0,0,0,0,0.0,0.0,0,7,7,100,0,0,0,0,0,0,0,0,0,18,0,1,2,0,0,0,3,,,,25,22,3,0,20,5,1,5,5,14,6.2,83,35,6946.94,-1.3243189297858935,-0.023297763363791982
Fiston Mayele,COD,FW,1.0,55.0,0,1,5,20,4,1,1,0.72,1.39,0,11,7,64,0,0,0,0,0,0,0,0,3,23,0,1,1,0,0,0,1,,,,21,13,8,0,17,4,2,16,18,35,3.03,72,35,5777.74,1.9854118047204274,0.643669156738263
Florian Grillitsch,AUT,MF,0.0,102.0,0,0,0,0,0,0,0,0.0,0.0,0,60,55,92,1,0,0,5,80,0,0,0,0,49,11,3,1,0,0,0,0,,,,31,2,10,19,22,9,0,3,16,133,3.44,142,41,11799.4,-1.3243189297858935,-0.023297763363791982
Florian Wiegele,AUT,GK,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-0.023297763363791982
Florian Wirtz,GER,MF,0.0,405.0,3,1,10,0,5,5,0,0.97,0.0,5,271,223,82,12,42,14,15,67,2,100,0,17,123,18,1,3,0,0,0,1,,,,218,71,100,47,96,122,4,117,99,599,6.85,653,229,46415.88,4.116026521635983,-2.321508513871735
Folarin Balogun,USA,FW,3.0,348.0,0,5,14,21,14,0,2,2.02,1.49,0,44,30,68,6,0,4,6,67,0,0,0,29,106,7,3,8,1,1,0,3,,,,175,104,69,2,134,41,21,55,64,153,4.78,329,183,34951.64,7.689561343162067,-0.2995563787804095
Francis De Vries,NZL,DF,0.0,32.0,0,0,0,0,0,0,0,0.0,0.0,2,16,7,44,2,50,1,0,0,0,0,0,1,5,1,0,0,0,0,0,0,,,,13,4,4,5,4,9,0,3,4,33,4.92,56,24,3921.77,-1.1995480242130403,-0.07165798624553567
Francisco Conceicao,POR,FW,0.0,163.0,0,0,2,0,2,0,0,0.17,0.0,0,73,65,89,5,40,4,7,86,0,0,0,9,35,4,1,1,0,0,0,1,,,,75,35,36,4,19,56,6,53,56,173,5.18,201,87,17531.95,-0.6403707905382493,-0.2936475461562571
Francisco Trincao,POR,FW,0.0,32.0,0,0,1,0,1,0,0,0.11,0.0,1,16,13,81,0,0,0,1,0,0,0,0,2,12,1,0,0,0,0,0,0,,,,24,6,18,0,19,5,0,8,15,35,1.52,56,32,4066.95,-0.9005026182511762,-0.18843682121005714
Franck Kessie,CIV,MF,1.0,389.0,0,2,4,25,4,0,0,0.71,1.4,1,188,165,88,4,0,2,13,46,2,50,0,13,135,13,7,2,1,0,0,1,,,,130,27,59,44,101,29,4,31,83,413,6.8,553,184,44144.95,1.7971491054571571,1.0243221460282006
Frans Putros,IRQ,DF,0.0,105.0,0,0,0,0,0,0,0,0.0,0.0,0,28,26,93,1,0,0,2,100,1,100,0,1,26,5,2,0,0,0,0,0,,,,8,5,2,1,1,7,0,6,9,55,1.95,106,32,10283.22,-1.3243189297858935,-0.023297763363791982
Frantzdy Pierrot,HAI,FW,0.0,168.0,0,1,3,0,3,0,1,0.25,0.0,0,17,13,76,0,0,0,0,0,0,0,0,3,41,3,5,4,1,0,0,2,,,,28,19,8,1,22,6,1,23,25,48,5.98,210,61,17982.57,0.1885408842893356,-0.5586332280739535
Fredrik Andre Bjorkan,NOR,DF,0.0,50.0,0,0,0,0,0,0,0,0.0,0.0,0,21,19,90,0,0,0,0,0,0,0,0,2,21,2,0,0,0,0,0,0,,,,18,7,5,6,3,15,1,2,7,46,1.15,70,29,5776.79,-1.3243189297858935,-0.023297763363791982
Fredrik Aursnes,NOR,MF,0.0,355.0,0,0,2,0,1,1,0,0.02,0.0,0,178,158,89,4,25,1,5,20,1,100,0,8,63,20,5,3,0,0,0,0,,,,177,44,68,65,78,99,3,24,55,375,6.87,571,173,40597.72,-0.7281615171405899,-0.2964392805027498
Frenkie De Jong,NED,MF,0.0,360.0,0,0,1,0,1,0,0,0.04,0.0,0,243,224,92,0,0,1,5,80,2,100,0,7,85,22,6,6,0,0,0,0,,,,143,2,32,109,106,37,0,8,69,519,6.5,424,109,38652.6,-1.0173670805861141,-0.14806135574353502
Gabriel Avalos,PAR,FW,0.0,170.0,0,0,1,0,1,0,0,0.05,0.0,0,23,12,52,0,0,0,4,25,0,0,0,5,46,5,1,2,0,0,0,0,,,,25,24,1,0,17,8,1,20,26,52,5.35,185,69,18764.8,-1.0095843649363268,-0.15037497774719935
Gabriel Gudmundsson,SWE,DF,0.0,356.0,0,0,0,0,0,0,0,0.0,0.0,1,147,112,76,5,20,1,7,14,2,100,0,13,58,14,5,7,1,0,0,0,,,,51,10,10,31,10,41,1,11,44,282,6.21,340,137,36816.96,-1.261933476999467,-0.047477874804663825
Gabriel Magalhaes,BRA,DF,0.0,520.0,1,0,1,0,1,0,0,0.03,0.0,0,431,413,96,0,0,0,2,50,2,100,0,8,23,8,1,3,0,0,0,0,,,,57,3,2,52,25,32,0,2,22,876,5.86,500,122,50836.58,-0.6168580320525694,-0.33429800818821626
