Player,Country,Position,Goals,Minutes Played,Assists,Attempts On Target,Attempts At Goal,Attempts At Goal Conv. Rate (%),Attempts Inside the Penalty Area,Attempts Outside the Penalty Area,Headed Attempts at Goal,xG,xG Efficiency,Corners,Passes,Passes Completed,Passing Accuracy (%),Crosses,Crossing Accuracy (%),Take-Ons Completed,Defensive Linebreaks Attempted,Defensive Linebreaks Acc (%),Switches of Play Attempted,Switches of Play Acc (%),Own Goals,Forced Turnovers,Defensive Pressures Applied,Defensive Pressures Directly Applied,Fouls Against,Fouls For,Yellow Cards,Red Cards,Indirect Red Cards,Offsides,Goalkeeper Saves,Goalkeeper Actions Inside the Penalty Area,Goalkeeper Actions Outside the Penalty Area,Offers To Receive,Offers In Behind,Offers In Between,Offers In Front,Offers Inside Team Shape,Offers Outside Team Shape,Receptions In Behind,Receptions Between Midfield And Defensive Line,Receptions Under Pressure,Player Involvements,Average Speed (km/h),High Speed Running,Sprints,Total Distance (m),PC1,PC2
Kendry Paez,ECU,MF,0.0,20.0,0,0,0,0,0,0,0,0.0,0.0,0,10,9,90,0,0,0,0,0,0,0,0,2,7,3,1,0,1,0,0,0,,,,8,1,1,6,1,7,0,1,4,22,1.69,33,15,2319.6,-1.3243189297858935,-0.023297763363791982
Kenji Gorre,CUW,FW,0.0,20.0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,,,,2,0,2,0,1,1,0,3,1,5,2.2,32,8,2257.01,-1.3243189297858935,-0.023297763363791982
Kenny Mclean,SCO,MF,0.0,144.0,0,0,1,0,0,1,0,0.01,0.0,0,63,56,89,2,50,1,2,100,0,0,0,4,31,6,1,1,1,0,0,0,,,,56,2,24,30,42,14,1,4,21,137,7.3,188,56,16438.49,-1.0117652193910067,-0.1786165541339997
Kento Shiogai,JPN,FW,0.0,12.0,0,0,0,0,0,0,0,0.0,0.0,0,1,1,100,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,,,,11,6,5,0,9,2,0,1,0,2,2.04,20,11,1755.39,-1.3243189297858935,-0.023297763363791982
Kerem Akturkoglu,TUR,FW,0.0,143.0,0,1,3,0,2,1,0,0.59,0.0,0,15,9,60,2,50,0,0,0,0,0,0,10,38,2,0,2,0,0,0,0,,,,71,57,12,2,66,5,2,18,20,45,4.21,147,73,15234.03,0.23693383167964838,-0.5884915090216637
Kerim Alajbegovic,BIH,FW,1.0,312.0,0,1,4,25,1,3,0,0.14,7.25,7,90,69,77,16,6,12,13,77,1,0,0,9,98,8,4,6,0,0,0,1,,,,115,33,63,19,27,88,2,50,77,241,6.35,365,130,32990.98,2.042956452506946,2.9960811842991757
Kevin Castano,COL,MF,0.0,28.0,0,0,0,0,0,0,0,0.0,0.0,0,14,14,100,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,,,,11,1,2,8,7,4,0,2,3,32,2.76,48,15,3167.34,-1.3243189297858935,-0.023297763363791982
Kevin Danso,AUT,DF,0.0,284.0,0,0,1,0,1,0,1,0.06,0.0,0,164,147,90,1,0,2,1,0,1,100,0,2,23,8,1,2,0,0,0,0,,,,25,1,2,22,10,15,1,6,28,349,5.48,266,95,25685.71,-0.756632256439614,-0.23898953132919817
Kevin De Bruyne,BEL,MF,1.0,412.0,0,5,20,5,9,11,0,1.39,0.72,14,185,153,83,21,24,5,21,48,2,100,0,14,145,13,2,4,1,0,0,0,,,,223,76,96,51,126,97,6,61,86,446,5.67,573,204,46612.9,8.308440172339195,-2.898046343878081
Kevin Felida,CUW,MF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-0.023297763363791982
Kevin Pina,CPV,MF,1.0,389.0,0,1,5,20,0,5,0,0.09,11.33,0,156,134,86,1,0,3,1,0,3,67,0,22,93,23,5,3,1,0,0,0,,,,71,1,26,44,53,18,0,5,66,359,6.07,388,116,39576.48,2.170988545367298,4.213723619182561
Kevin Rodriguez,ECU,FW,0.0,146.0,1,1,6,0,6,0,2,0.68,0.0,0,27,23,85,1,0,1,3,67,0,0,0,2,26,6,3,1,0,0,0,0,,,,49,33,15,1,38,11,3,35,35,79,6.3,187,89,15137.76,2.004121774062338,-1.279497493353457
Kevin Yakob,IRQ,MF,0.0,29.0,0,0,1,0,1,0,0,0.07,0.0,0,12,9,75,0,0,1,1,0,0,0,0,1,18,2,1,0,0,0,0,0,,,,6,2,3,1,6,0,0,4,5,28,2.45,47,15,3609.05,-0.9940189336367522,-0.155002221754528
Khalid Alghannam,KSA,FW,0.0,8.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,1.85,10,4,790.29,-1.3243189297858935,-0.023297763363791982
Khalil Ayari,TUN,MF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-0.023297763363791982
Khojiakbar Alijonov,UZB,DF,0.0,155.0,0,0,0,0,0,0,0,0.0,0.0,0,41,27,66,4,0,3,2,0,1,0,0,4,76,11,2,1,0,0,0,0,,,,16,6,9,1,1,15,5,19,41,103,4.17,228,87,16085.82,-1.3243189297858935,-0.023297763363791982
Khuliso Mudau,RSA,DF,0.0,402.0,0,0,0,0,0,0,0,0.0,0.0,0,187,168,90,5,20,3,5,20,0,0,0,32,82,16,4,10,0,0,0,1,,,,62,30,25,7,17,45,6,17,64,394,5.83,399,189,39120.48,-1.3243189297858935,-0.023297763363791982
Khulumani Ndamane,RSA,DF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-0.023297763363791982
Kieran Tierney,SCO,DF,0.0,115.0,0,0,2,0,2,0,0,0.06,0.0,0,48,36,75,7,43,0,1,100,2,50,0,12,31,6,3,2,0,0,0,0,,,,47,14,22,11,8,39,1,17,20,113,4.26,119,65,12307.0,-0.7259806626859099,-0.2681977041159495
Kim Jingyu,KOR,MF,0.0,64.0,0,0,1,0,0,1,0,0.01,0.0,0,56,54,96,1,0,0,2,100,0,0,0,3,16,3,0,1,0,0,0,0,,,,14,1,6,7,11,3,0,5,19,122,5.21,99,26,7803.84,-1.0117652193910067,-0.1786165541339997
Kim Minjae,KOR,DF,0.0,268.0,0,1,1,0,1,0,1,0.1,0.0,0,226,221,98,0,0,1,0,0,0,0,0,3,13,4,2,0,0,0,0,0,,,,33,0,0,33,20,13,0,2,43,459,5.97,264,91,26815.14,-0.4798418236587338,-0.292910689288817
Kim Moonhwan,KOR,DF,0.0,74.0,0,0,0,0,0,0,0,0.0,0.0,0,25,22,88,0,0,0,0,0,0,0,0,11,19,2,0,0,0,0,0,0,,,,27,14,9,4,10,17,0,7,1,49,2.29,109,52,8571.36,-1.3243189297858935,-0.023297763363791982
Kim Seunggyu,KOR,GK,0.0,300.0,0,0,0,0,0,0,0,0.0,0.0,0,116,85,73,0,0,0,9,11,2,50,0,0,0,0,0,0,0,0,0,0,11.0,42.0,34.0,38,0,0,38,27,11,0,0,7,230,3.14,37,14,15687.05,-1.3243189297858935,-0.023297763363791982
Kim Taehyeon,KOR,DF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-0.023297763363791982
Kobbie Mainoo,ENG,MF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-0.023297763363791982
Kojo Peprah Oppong,GHA,DF,0.0,61.0,0,0,0,0,0,0,0,0.0,0.0,0,22,21,95,0,0,0,0,0,0,0,0,1,5,0,1,0,1,0,0,0,,,,3,0,0,3,2,1,0,0,0,44,2.83,63,16,5660.9,-1.3243189297858935,-0.023297763363791982
Koki Ogawa,JPN,FW,0.0,56.0,1,0,3,0,3,0,2,0.22,0.0,0,3,3,100,0,0,0,0,0,0,0,0,3,18,0,1,0,0,0,0,0,,,,24,12,10,2,22,2,1,5,4,12,4.72,78,29,5939.74,0.5729943241885008,-0.781876898144679
Koni De Winter,BEL,DF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-0.023297763363791982
Konrad Laimer,AUT,MF,0.0,412.0,1,0,1,0,0,1,0,0.01,0.0,0,150,130,87,7,14,3,8,63,0,0,0,19,149,32,6,3,1,0,0,3,,,,167,57,78,32,76,91,10,42,113,336,6.21,442,194,42644.73,-0.6034734552076747,-0.3671668285823453
Kosta Barbarouses,NZL,FW,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-0.023297763363791982
Kou Itakura,JPN,DF,0.0,138.0,1,0,0,0,0,0,0,0.0,0.0,0,110,107,97,0,0,0,1,100,0,0,0,4,4,2,1,0,0,0,0,0,,,,29,0,0,29,24,5,0,0,3,222,2.86,116,34,13382.22,-0.9160271656025611,-0.21184803781213754
Krepin Diatta,SEN,DF,0.0,459.0,0,0,1,0,0,1,0,0.04,0.0,2,283,255,90,10,40,6,4,75,1,100,0,7,44,13,4,6,0,0,0,0,,,,69,19,23,27,13,56,3,36,126,588,5.93,467,164,45457.47,-0.8636461668687916,-0.23391764302673637
Kristian Thorstvedt,NOR,MF,0.0,75.0,0,1,3,0,2,1,0,0.17,0.0,0,24,19,79,0,0,2,1,0,0,0,0,0,38,5,2,1,0,0,0,0,,,,46,16,22,8,31,15,1,12,25,62,2.52,137,44,9451.89,-0.08994022561141932,-0.49131938486776194
Kristijan Jakic,CRO,DF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-0.023297763363791982
Kristoffer Ajer,NOR,DF,0.0,554.0,0,1,2,0,2,0,2,0.2,0.0,0,273,256,94,2,100,3,1,100,0,0,0,12,29,8,2,1,1,0,0,0,,,,72,4,2,66,44,28,0,4,39,590,4.95,480,150,54843.56,0.11897571228669489,-0.5178569452688806
Kristoffer Nordfeldt,SWE,GK,0.0,200.0,0,0,0,0,0,0,0,0.0,0.0,0,66,45,68,0,0,0,3,67,1,100,0,0,0,0,0,0,0,0,0,0,4.0,22.0,20.0,8,0,0,8,5,3,0,0,1,115,1.47,8,1,9861.15,-1.3243189297858935,-0.023297763363791982
Kwasi Sibo,GHA,MF,0.0,282.0,0,0,0,0,0,0,0,0.0,0.0,0,93,88,95,0,0,1,1,100,2,100,0,5,114,15,7,1,0,0,0,0,,,,46,2,12,32,42,4,0,7,28,204,6.63,447,96,31122.82,-1.3243189297858935,-0.023297763363791982
Kylian Mbappe,FRA,FW,8.0,666.0,3,19,33,24,21,12,0,5.37,1.49,4,199,173,87,9,11,24,26,77,9,89,0,17,140,13,6,9,1,0,0,5,,,,358,164,130,64,236,122,23,144,157,534,5.26,459,223,58439.2,22.821764706324274,-3.3401400066175038
Lachlan Bayliss,NZL,MF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-0.023297763363791982
Ladislav Krejci,CZE,DF,1.0,301.0,0,1,5,20,5,0,5,0.54,1.85,0,160,135,84,2,50,0,2,50,1,100,0,2,30,10,6,2,1,0,0,0,,,,44,4,3,37,18,26,1,9,43,333,6.46,373,81,32407.75,2.8343159094015093,0.5390222459256236
Lamine Camara,SEN,MF,0.0,287.0,1,0,3,0,0,3,0,0.14,0.0,5,131,117,89,8,50,2,4,50,1,100,0,11,124,20,5,3,1,0,0,0,,,,141,32,63,46,101,40,2,25,98,307,6.56,453,176,31487.71,0.41917110166189203,-0.8241548093674277
Lamine Yamal,ESP,FW,1.0,557.0,0,10,23,4,12,11,0,2.11,0.47,12,212,181,85,35,20,30,32,72,3,100,0,17,116,24,12,8,0,0,0,7,,,,266,102,138,26,96,170,27,193,166,599,5.62,451,212,51455.21,10.767411604282895,-3.7147276161114484
Laros Duarte,CPV,MF,0.0,187.0,0,3,3,0,2,1,0,0.7,0.0,1,41,33,80,2,100,6,2,50,0,0,0,13,97,4,0,2,0,0,0,0,,,,82,7,65,10,62,20,3,16,34,106,6.95,252,66,21530.22,0.8762482969771972,-0.7274548023927662
Lautaro Martinez,ARG,FW,3.0,368.0,1,4,10,30,9,1,2,2.17,1.38,0,71,60,85,2,50,1,2,50,0,0,0,26,175,19,8,5,1,0,0,2,,,,176,93,70,13,129,47,4,56,58,182,6.15,350,141,35736.83,6.994778510425133,0.27566449400422466
Lawrence Ati Zigi,GHA,GK,0.0,155.0,0,0,0,0,0,0,0,0.0,0.0,0,52,39,75,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,8.0,31.0,30.0,2,0,0,2,1,1,0,0,0,87,1.36,7,1,7025.37,-1.3243189297858935,-0.023297763363791982
Lawrence Shankland,SCO,FW,0.0,183.0,0,0,4,0,4,0,2,0.35,0.0,0,34,20,59,0,0,0,2,0,0,0,0,4,61,9,5,3,0,0,0,1,,,,97,46,45,6,80,17,1,29,30,83,4.59,258,70,21051.5,0.5416988500530336,-0.7389128141090554
Leandro Bacuna,CUW,MF,0.0,300.0,0,1,6,0,3,3,2,0.33,0.0,1,125,108,86,4,0,4,4,25,1,100,0,18,110,17,3,3,1,0,0,0,,,,62,5,33,24,41,21,0,24,60,291,5.88,315,88,29455.81,1.4726704393562837,-1.1466387534221045
Leandro Paredes,ARG,MF,0.0,466.0,0,1,4,0,0,4,0,0.07,0.0,1,521,496,95,2,50,1,5,60,6,100,0,13,35,10,3,2,1,0,0,0,,,,164,1,23,140,115,49,0,6,42,926,5.15,405,95,39050.89,0.2572890817111719,-0.7203605738414494
Leandro Trossard,BEL,FW,2.0,561.0,2,4,17,12,10,7,0,1.67,1.2,0,199,171,86,11,45,10,11,55,4,75,0,26,168,12,4,8,0,0,0,1,,,,213,84,95,34,105,108,10,92,95,500,6.77,802,276,63148.76,7.899817728397937,-1.731358329962152
Lee Donggyeong,KOR,MF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-0.023297763363791982
Lee Gihyuk,KOR,MF,0.0,300.0,0,0,0,0,0,0,0,0.0,0.0,0,236,217,92,4,0,1,3,0,4,100,0,6,19,4,2,2,1,0,0,0,,,,70,0,7,63,21,49,0,2,71,500,6.18,388,125,30898.48,-1.3243189297858935,-0.023297763363791982
Lee Hanbeom,KOR,DF,0.0,300.0,0,0,2,0,2,0,2,0.22,0.0,0,200,183,92,2,50,0,3,33,1,100,0,5,41,22,7,3,0,0,0,0,,,,53,6,8,39,3,50,1,10,33,403,6.23,365,107,31151.94,-0.11111842659546123,-0.4778175193312477
Lee Jaesung,KOR,MF,0.0,125.0,0,1,2,0,2,0,1,0.14,0.0,0,59,46,78,1,0,0,2,100,1,0,0,10,46,6,1,4,0,0,0,1,,,,66,18,38,10,43,23,4,28,40,137,4.63,205,85,14542.7,-0.17288997445895476,-0.41767428166856013
Lee Kangin,KOR,MF,0.0,300.0,1,1,4,0,1,3,0,0.15,0.0,9,159,140,88,20,25,9,12,75,7,86,0,11,81,4,1,7,1,0,0,0,,,,161,12,71,78,62,99,0,42,108,376,5.68,264,69,28433.53,1.1979761852397464,-1.0833646514446265
Lee Taeseok,KOR,DF,0.0,120.0,0,0,0,0,0,0,0,0.0,0.0,0,45,39,87,9,33,1,4,75,1,100,0,4,25,5,3,1,0,0,0,0,,,,56,32,20,4,18,38,3,14,20,103,4.44,151,68,13302.6,-1.3243189297858935,-0.023297763363791982
Lenny Joseph,HAI,FW,0.0,134.0,0,0,2,0,2,0,0,0.33,0.0,0,20,13,65,0,0,5,3,33,1,100,0,4,43,5,6,1,0,0,0,0,,,,50,31,17,2,39,11,1,28,28,61,5.97,120,60,12922.53,-0.515847340141652,-0.3306654982148863
Leo Ostigard,NOR,DF,1.0,184.0,0,1,3,33,3,0,3,0.32,3.16,0,99,84,85,0,0,0,0,0,4,25,0,1,8,3,2,2,0,0,0,0,,,,18,2,1,15,12,6,0,3,14,222,4.75,165,45,18419.78,1.884814534455646,1.984590068115038
Leo Pereira,BRA,DF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-0.023297763363791982
Leon Goretzka,GER,MF,0.0,122.0,0,0,2,0,2,0,1,0.19,0.0,0,30,23,77,1,0,0,1,100,1,0,0,3,20,2,0,0,0,0,0,0,,,,27,12,9,6,19,8,2,11,19,80,5.06,140,49,12494.96,-0.37963596639174885,-0.38457572174192023
Leroy Sane,GER,MF,1.0,360.0,0,2,6,17,5,1,0,1.57,0.64,1,189,161,85,11,18,7,9,44,0,0,0,10,84,15,3,2,0,0,0,1,,,,148,55,73,20,36,112,2,94,122,439,6.38,477,221,38060.03,2.888517251738175,-0.036843811839436365
Lewis Ferguson,SCO,MF,0.0,306.0,0,1,2,0,0,2,0,0.09,0.0,8,201,185,92,9,11,0,3,33,1,100,0,15,87,28,5,10,0,0,0,0,,,,210,1,73,136,146,64,0,1,44,427,7.16,451,119,36575.01,0.1000106930255346,-0.5882382604017939
Liam Kelly,SCO,GK,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-0.023297763363791982
Liam Millar,CAN,MF,0.0,176.0,0,0,1,0,1,0,1,0.04,0.0,0,67,50,75,10,20,4,8,50,0,0,0,3,44,12,3,1,1,0,0,0,,,,75,36,35,4,19,56,4,33,26,166,3.93,243,114,19176.61,-0.7721976877391886,-0.2343622873218695
Liberato Cacace,NZL,DF,0.0,237.0,0,1,1,0,1,0,0,0.02,0.0,2,88,75,85,6,17,2,4,25,0,0,0,9,59,8,1,5,0,0,0,0,,,,74,31,34,9,13,61,1,25,42,197,6.67,350,111,26344.8,-0.6625020361311049,-0.2364610045629116
Lionel Messi,ARG,FW,8.0,712.0,4,19,34,24,16,18,0,6.16,1.3,34,332,261,79,41,41,22,32,63,5,80,0,23,133,20,2,14,0,0,0,4,,,,200,45,101,54,126,74,4,113,147,679,4.55,379,156,46140.01,26.150583385910906,-4.844026895651674
Lionel Mpasi,COD,GK,0.0,409.0,0,0,0,0,0,0,0,0.0,0.0,0,139,94,68,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,83.0,70.0,30,0,0,30,17,13,0,0,5,248,2.77,37,7,18909.7,-1.3243189297858935,-0.023297763363791982
Lisandro Martinez,ARG,DF,1.0,664.0,1,2,4,25,2,2,0,0.2,5.09,0,424,401,95,3,0,2,9,67,1,100,0,8,23,10,5,4,0,0,0,0,,,,40,2,1,37,15,25,0,3,63,799,4.35,380,127,51232.0,2.1029704379702263,2.1977880504760274
Livano Comenencia,CUW,MF,1.0,253.0,0,2,5,20,2,3,0,0.31,3.25,0,62,50,81,1,100,2,4,50,0,0,0,13,102,19,4,1,1,0,0,0,,,,69,6,42,21,50,19,1,11,44,160,6.88,342,117,28808.06,1.8753925850274071,1.3578500794622328
Logan Costa,CPV,DF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-0.023297763363791982
Logan Rogerson,NZL,FW,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-0.023297763363791982
Louicius Deedson,HAI,FW,0.0,129.0,0,0,2,0,1,1,0,0.05,0.0,1,15,13,87,5,20,5,5,60,0,0,0,3,30,4,3,1,0,0,0,1,,,,41,21,16,4,15,26,0,14,14,54,5.91,145,67,13276.69,-0.6424279174048011,-0.32756025795461463
Luc De Fougerolles,CAN,DF,0.0,421.0,0,1,3,0,3,0,1,0.17,0.0,0,191,170,89,1,0,0,6,67,1,0,0,17,41,22,8,8,2,0,0,0,,,,43,6,4,33,25,18,2,7,32,404,6.37,528,174,44379.43,0.12627915909103699,-0.5401242520446389
Luca Jaquez,SUI,DF,0.0,89.0,0,0,0,0,0,0,0,0.0,0.0,0,41,31,76,2,0,1,4,50,0,0,0,3,15,4,3,1,0,0,0,0,,,,20,9,9,2,2,18,1,7,28,88,2.18,96,39,9611.83,-1.3243189297858935,-0.023297763363791982
Luca Zidane,ALG,GK,0.0,302.0,0,0,0,0,0,0,0,0.0,0.0,0,104,91,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,34.0,32.0,8,0,0,8,6,2,0,1,3,199,1.99,42,13,13382.13,-1.3243189297858935,-0.023297763363791982
Lucas Bergvall,SWE,MF,0.0,207.0,1,0,2,0,2,0,1,0.68,0.0,0,88,80,91,2,0,2,2,100,0,0,0,10,60,13,7,4,1,0,0,0,,,,52,7,16,29,43,9,3,14,40,193,6.93,283,89,23862.93,0.4100088646311625,-0.6864934743698178
Lucas Digne,FRA,DF,0.0,459.0,0,1,2,0,0,2,0,0.03,0.0,0,267,237,89,16,6,0,8,50,1,100,0,27,52,4,5,2,0,0,0,0,,,,106,48,34,24,28,78,5,35,45,563,4.42,509,187,47379.47,-0.44576922316460227,-0.3809156368528333
Lucas Hernandez,FRA,DF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-0.023297763363791982
Lucas Herrington,AUS,DF,0.0,232.0,0,0,0,0,0,0,0,0.0,0.0,0,106,101,95,0,0,0,0,0,0,0,0,4,11,4,2,0,0,0,0,0,,,,34,0,0,34,7,27,0,3,41,232,2.98,210,41,23286.35,-1.3243189297858935,-0.023297763363791982
Lucas Mendes,QAT,DF,0.0,13.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,1,,,,4,4,0,0,2,2,0,0,0,0,2.35,17,9,1535.0,-1.3243189297858935,-0.023297763363791982
Lucas Paqueta,BRA,MF,0.0,255.0,1,1,5,0,2,3,1,0.24,0.0,1,190,162,85,5,0,2,8,63,1,100,0,9,104,17,3,6,0,0,0,0,,,,192,22,89,81,110,82,1,20,78,412,5.17,335,123,27561.36,1.2899273832439748,-1.1125563938940508
Luis Chavez,MEX,MF,0.0,31.0,0,0,0,0,0,0,0,0.0,0.0,0,28,28,100,1,0,0,1,100,0,0,0,1,4,3,1,0,0,0,0,0,,,,16,0,6,10,2,14,0,4,4,61,1.09,42,16,2876.74,-1.3243189297858935,-0.023297763363791982
Luis Diaz,COL,FW,1.0,525.0,1,7,19,5,15,4,0,1.47,0.68,3,166,145,87,6,17,7,14,50,10,100,0,29,103,11,7,9,0,0,0,9,,,,295,148,121,26,130,165,11,116,104,415,6.05,510,248,52994.8,8.102361306244807,-2.56451228844107
Luis Mejia,PAN,GK,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-0.023297763363791982
Luis Romo,MEX,MF,1.0,284.0,1,1,3,33,1,2,0,0.1,10.05,0,106,93,88,2,50,0,5,40,0,0,0,14,71,12,1,3,0,0,0,0,,,,153,41,70,42,119,34,2,21,62,242,5.53,483,143,32815.01,2.0024496212079015,4.44857443537357
Luis Suarez,COL,FW,0.0,365.0,1,0,9,0,7,2,2,0.96,0.0,0,53,39,74,3,33,2,2,50,0,0,0,13,106,15,7,8,1,0,0,1,,,,191,81,108,2,167,24,5,59,52,148,5.34,267,155,32718.6,2.86174121816548,-1.7211316814092692
Luiz Henrique,BRA,FW,0.0,38.0,0,0,0,0,0,0,0,0.0,0.0,0,12,12,100,0,0,0,3,100,0,0,0,2,10,3,0,1,0,0,0,0,,,,3,0,3,0,0,3,0,3,6,27,1.2,60,26,3896.86,-1.3243189297858935,-0.023297763363791982
Luka Modric,CRO,MF,0.0,360.0,1,0,1,0,1,0,1,0.05,0.0,7,248,225,91,9,44,2,9,44,2,100,0,16,48,12,4,3,1,0,0,0,,,,141,14,47,80,114,27,1,13,50,509,6.08,401,122,36541.56,0.08057496159891742,-0.5944869638599823
Luka Sucic,CRO,MF,0.0,23.0,0,0,1,0,0,1,0,0.04,0.0,0,3,1,33,0,0,0,1,0,0,0,0,1,7,0,0,0,0,0,0,0,,,,5,3,1,1,4,1,1,1,3,10,1.76,31,17,2774.75,-0.9884170724416449,-0.18555742014499269
Luka Vuskovic,CRO,DF,0.0,71.0,0,0,0,0,0,0,0,0.0,0.0,0,43,38,88,0,0,0,1,0,0,0,0,0,3,2,1,1,0,0,0,0,,,,8,0,1,7,5,3,0,0,2,94,1.47,81,21,7008.12,-1.3243189297858935,-0.023297763363791982
Lukas Cerv,CZE,MF,0.0,172.0,0,2,3,0,1,2,0,0.06,0.0,0,42,36,86,1,0,1,2,0,1,100,0,6,27,11,3,3,0,0,0,0,,,,67,2,28,37,54,13,0,4,18,97,4.24,204,53,18226.25,0.09905948056712009,-0.5480322771738736
Lukas Hornicek,CZE,GK,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-0.023297763363791982
Lukas Provod,CZE,MF,0.0,137.0,0,0,1,0,0,1,0,0.05,0.0,0,48,37,77,2,50,1,3,100,0,0,0,9,49,5,2,1,0,0,0,1,,,,50,31,15,4,24,26,2,24,20,109,6.94,228,88,16011.22,-0.9806343567918575,-0.18787104214865702
Lutsharel Geertruida,NED,DF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-0.023297763363791982
