Player,Country,Position,Goals,Assists_x,Minutes Played,Assists_y,Attempts On Target,Attempts At Goal,Attempts At Goal Conv. Rate (%),Attempts Inside the Penalty Area,Attempts Outside the Penalty Area,Headed Attempts at Goal,xG,xG Efficiency,Corners,Passes,Passes Completed,Passing Accuracy (%),Crosses,Crossing Accuracy (%),Take-Ons Completed,Defensive Linebreaks Attempted,Defensive Linebreaks Acc (%),Switches of Play Attempted,Switches of Play Acc (%),Own Goals,Forced Turnovers,Defensive Pressures Applied,Defensive Pressures Directly Applied,Fouls Against,Fouls For,Yellow Cards,Red Cards,Indirect Red Cards,Offsides,Goalkeeper Saves,Goalkeeper Actions Inside the Penalty Area,Goalkeeper Actions Outside the Penalty Area,Offers To Receive,Offers In Behind,Offers In Between,Offers In Front,Offers Inside Team Shape,Offers Outside Team Shape,Receptions In Behind,Receptions Between Midfield And Defensive Line,Receptions Under Pressure,Player Involvements,Average Speed (km/h),High Speed Running,Sprints,Total Distance (m)
Matias Fernandez Pardo,BEL,FW,0.0,0.0,57.0,0,0,3,0,2,1,0,0.25,0x,0,15,13,87,3,0,4,3,67,0,0,0,2,25,4,0,0,0,0,0,0,,,,21,15,5,1,8,13,2,18,9,43,3.91,83,52,7102.68
Matias Galarza,PAR,MF,1.0,1.0,439.0,1,1,2,50,0,2,0,0.07,13.75x,0,113,82,73,4,25,2,6,33,0,0,0,42,197,61,10,9,2,0,0,0,,,,87,24,47,16,35,52,3,35,80,280,5.32,560,237,48496.58
Matias Vina,URU,DF,0.0,0.0,49.0,0,0,0,0,0,0,0,0.0,0x,0,29,23,79,2,0,0,0,0,0,0,0,4,8,0,0,1,0,0,0,1,,,,21,12,2,7,1,20,1,6,15,69,2.12,71,30,5227.49
Mats Wieffer,NED,DF,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Matt Freese,USA,GK,0.0,0.0,419.0,0,0,0,0,0,0,0,0.0,0x,0,95,63,66,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,10.0,58.0,48.0,15,0,0,15,10,5,0,0,3,172,2.76,26,6,24114.67
Matt Turner,USA,GK,0.0,0.0,104.0,0,0,0,0,0,0,0,0.0,0x,0,33,24,73,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,21.0,17.0,2,0,0,2,1,1,0,0,1,57,0.68,20,2,5939.08
Matthieu Epolo,COD,GK,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Mattias Svanberg,SWE,MF,1.0,0.0,25.0,0,2,3,33,2,1,0,0.23,4.26x,0,7,7,100,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,,,,8,0,5,3,8,0,0,3,5,23,3.67,49,15,3157.11
Mauricio,PAR,MF,1.0,0.0,208.0,0,3,4,25,2,2,0,0.32,3.12x,5,69,54,78,12,17,1,4,25,1,100,0,10,75,4,3,3,0,0,0,0,,,,72,16,34,22,43,29,2,21,48,173,5.19,321,110,22291.21
Max Arfsten,USA,DF,0.0,0.0,2.0,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,1,1,0,0,2,0,0,0,0,1.09,1,2,231.95
Max Crocombe,NZL,GK,0.0,0.0,306.0,0,0,0,0,0,0,0,0.0,0x,0,107,78,73,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,11.0,97.0,88.0,21,0,0,21,13,8,0,0,0,185,2.56,19,2,13059.58
