Player,Country,Position,Goals,Assists_x,Minutes Played,Assists_y,Attempts On Target,Attempts At Goal,Attempts At Goal Conv. Rate (%),Attempts Inside the Penalty Area,Attempts Outside the Penalty Area,Headed Attempts at Goal,xG,xG Efficiency,Corners,Passes,Passes Completed,Passing Accuracy (%),Crosses,Crossing Accuracy (%),Take-Ons Completed,Defensive Linebreaks Attempted,Defensive Linebreaks Acc (%),Switches of Play Attempted,Switches of Play Acc (%),Own Goals,Forced Turnovers,Defensive Pressures Applied,Defensive Pressures Directly Applied,Fouls Against,Fouls For,Yellow Cards,Red Cards,Indirect Red Cards,Offsides,Goalkeeper Saves,Goalkeeper Actions Inside the Penalty Area,Goalkeeper Actions Outside the Penalty Area,Offers To Receive,Offers In Behind,Offers In Between,Offers In Front,Offers Inside Team Shape,Offers Outside Team Shape,Receptions In Behind,Receptions Between Midfield And Defensive Line,Receptions Under Pressure,Player Involvements,Average Speed (km/h),High Speed Running,Sprints,Total Distance (m)
Deniz Gul,TUR,FW,0.0,0.0,50.0,0,1,2,0,2,0,1,0.7,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,,,,14,13,1,0,14,0,1,3,3,7,4.28,43,22,5152.77
Deniz Undav,GER,FW,3.0,2.0,174.0,2,4,6,50,5,1,0,1.43,2.1x,0,31,23,74,2,0,0,4,50,0,0,0,6,53,7,3,0,0,0,0,0,,,,19,12,7,0,13,6,5,27,30,85,6.03,205,59,17404.37
Dennis Dargahi,IRN,FW,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Dennis Hadzikadunic,BIH,DF,0.0,1.0,33.0,1,0,0,0,0,0,0,0.0,0x,0,10,8,80,0,0,0,0,0,0,0,0,1,4,2,1,0,0,0,0,0,,,,5,0,0,5,1,4,0,2,3,23,1.52,32,11,3338.81
Denzel Dumfries,NED,DF,0.0,2.0,432.0,2,2,5,0,4,1,2,0.44,0x,0,179,147,82,17,29,1,13,54,0,0,0,24,74,8,6,3,0,0,0,1,,,,82,40,29,13,18,64,13,44,56,379,6.05,470,183,43452.06
Derek Cornelius,CAN,DF,0.0,0.0,351.0,0,1,5,0,5,0,4,0.74,0x,0,170,151,89,1,0,0,2,50,1,0,0,4,29,6,4,3,1,0,0,0,,,,14,2,2,10,6,8,1,8,35,379,4.58,368,106,33569.61
Deroy Duarte,CPV,MF,1.0,0.0,300.0,0,2,3,33,1,2,0,0.12,8.28x,0,101,87,86,1,100,0,2,50,1,100,0,13,137,26,4,1,0,0,0,0,,,,56,11,29,16,41,15,1,14,51,228,6.26,323,73,31052.7
Derrick Etienne,HAI,FW,0.0,0.0,14.0,0,0,0,0,0,0,0,0.0,0x,1,8,4,50,2,50,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,,,,10,7,1,2,4,6,2,5,1,19,2.56,26,8,1841.93
Derrick Luckassen,GHA,DF,1.0,0.0,205.0,0,1,1,100,1,0,0,0.62,1.62x,0,125,109,87,0,0,0,3,0,1,100,0,2,8,4,1,2,0,0,0,0,,,,4,0,0,4,1,3,1,1,12,256,2.64,147,39,18059.74
Desire Doue,FRA,FW,1.0,1.0,400.0,1,8,13,8,4,9,1,0.71,1.41x,2,175,148,85,5,40,9,14,43,2,100,0,13,173,22,3,6,0,0,0,0,,,,174,50,81,43,57,117,12,78,85,428,6.55,504,228,43220.64
Deveron Fonville,CUW,DF,0.0,0.0,260.0,0,0,0,0,0,0,0,0.0,0x,0,66,55,83,0,0,4,3,33,0,0,0,9,73,19,2,3,0,0,0,0,,,,17,5,8,4,3,14,0,9,53,151,5.89,239,132,25516.75
Diego Gomez,PAR,MF,0.0,0.0,332.0,0,0,6,0,2,4,0,0.25,0x,1,101,80,79,2,0,2,4,25,2,100,0,23,147,37,5,1,2,0,0,0,,,,84,10,43,31,58,26,0,21,63,247,6.73,492,179,37311.9
Diego Moreira,BEL,MF,0.0,0.0,76.0,0,0,0,0,0,0,0,0.0,0x,0,15,10,67,4,25,1,3,67,2,50,0,5,36,2,2,1,0,0,0,1,,,,47,12,21,14,20,27,1,11,5,41,1.04,109,55,8031.47
Diney Borges,CPV,DF,0.0,0.0,445.0,0,2,4,0,3,1,3,0.18,0x,0,195,158,81,0,0,0,8,13,9,44,1,5,29,16,2,0,1,0,0,0,,,,103,2,2,99,57,46,0,3,42,388,5.88,395,111,43337.98
Diogo Costa,POR,GK,0.0,0.0,518.0,0,0,0,0,0,0,0,0.0,0x,0,125,98,78,0,0,0,5,20,2,0,0,0,0,0,0,1,0,0,0,0,20.0,114.0,93.0,26,0,0,26,15,11,0,0,3,217,2.76,40,8,23794.16
Diogo Dalot,POR,DF,0.0,0.0,78.0,0,0,1,0,0,1,0,0.04,0x,0,39,34,87,1,0,2,1,0,0,0,0,2,13,3,0,1,0,0,0,0,,,,35,10,12,13,12,23,1,6,25,86,2.42,86,39,7881.23
Djed Spence,ENG,DF,0.0,0.0,373.0,0,2,2,0,1,1,0,0.71,0x,0,160,142,89,9,0,4,12,75,0,0,0,13,75,12,1,2,0,0,0,0,,,,119,32,40,47,26,93,7,15,43,296,6.22,255,127,27817.63
Djibril Sow,SUI,MF,0.0,0.0,276.0,0,1,2,0,1,1,0,0.23,0x,0,97,83,86,4,25,0,7,57,1,100,0,8,54,5,5,4,0,0,0,0,,,,112,26,63,23,59,53,4,19,50,215,4.57,421,147,31183.47
Dodi Lukebakio,BEL,FW,0.0,0.0,194.0,0,1,7,0,5,2,1,0.41,0x,0,55,44,80,7,14,10,6,83,1,100,0,6,67,3,1,2,0,0,0,0,,,,83,39,26,18,30,53,1,34,32,154,3.16,232,101,20237.33
Dominic Hyam,SCO,DF,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Dominik Kotarski,CRO,GK,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Dominik Livakovic,CRO,GK,0.0,0.0,413.0,0,0,0,0,0,0,0,0.0,0x,0,129,95,74,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12.0,80.0,68.0,5,0,0,5,2,3,0,0,8,235,2.52,30,5,17297.82
Dominique Simon,HAI,MF,0.0,0.0,68.0,0,1,1,0,0,1,0,0.01,0x,1,30,22,73,1,100,0,2,0,0,0,0,2,26,6,1,1,0,0,0,0,,,,47,2,24,21,34,13,1,2,11,64,4.37,150,36,7878.3
Donyell Malen,NED,FW,0.0,0.0,197.0,0,2,4,0,2,2,1,0.22,0x,0,34,27,79,8,25,5,5,60,0,0,0,8,47,7,0,2,0,0,0,0,,,,82,40,30,12,46,36,4,42,38,107,4.34,178,81,18907.07
Dostonbek Khamdamov,UZB,MF,0.0,0.0,120.0,0,0,2,0,1,1,1,0.08,0x,2,34,29,85,5,60,1,1,0,0,0,0,9,74,6,1,0,0,0,0,1,,,,32,17,13,2,22,10,1,20,22,92,4.48,184,63,13625.49
Douglas Santos,BRA,DF,0.0,0.0,505.0,0,0,2,0,2,0,0,0.2,0x,0,275,256,93,6,17,0,5,60,0,0,0,21,111,42,3,2,1,0,0,1,,,,86,31,30,25,25,61,7,43,78,571,6.22,642,220,52462.91
Duckens Nazon,HAI,FW,0.0,0.0,31.0,0,1,1,0,0,1,0,0.12,0x,0,3,1,33,0,0,1,0,0,0,0,0,1,6,0,0,1,1,0,0,0,,,,0,0,0,0,0,0,0,2,4,8,1.63,27,8,2597.09
Duje Caleta Car,CRO,DF,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Dylan Batubinsika,COD,DF,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Dylan Bronn,TUN,DF,0.0,0.0,49.0,0,0,0,0,0,0,0,0.0,0x,0,20,16,80,0,0,0,0,0,1,0,0,1,4,1,1,0,0,0,0,0,,,,7,0,0,7,2,5,0,0,1,40,2.04,38,13,5012.71
Dzenis Burnic,BIH,MF,0.0,0.0,27.0,0,0,1,0,0,1,0,0.02,0x,0,8,7,88,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,,,,7,4,2,1,0,7,0,2,7,21,3.35,37,11,3073.49
Eberechi Eze,ENG,MF,0.0,0.0,164.0,0,0,2,0,0,2,0,0.16,0x,1,40,33,83,3,33,2,5,100,1,100,0,4,43,0,1,3,0,0,0,1,,,,44,17,21,6,33,11,1,25,31,97,4.21,206,73,16888.28
Ederson,BRA,GK,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Ederson Silva,BRA,MF,0.0,0.0,38.0,0,0,2,0,1,1,0,0.34,0x,0,5,5,100,3,33,0,0,0,0,0,0,1,20,2,1,0,0,0,0,0,,,,14,7,2,5,7,7,0,5,3,23,2.93,63,33,4509.03
Edgar Yoel Barcenas,PAN,MF,0.0,0.0,272.0,0,0,2,0,0,2,0,0.05,0x,3,109,96,88,5,40,2,3,67,4,100,0,9,74,6,3,3,1,0,0,0,,,,120,9,66,45,86,34,1,13,49,239,6.75,426,101,30790.0
Edgardo Farina,PAN,DF,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Edin Dzeko,BIH,FW,0.0,0.0,196.0,0,0,3,0,3,0,0,0.2,0x,0,48,33,69,2,50,2,3,67,1,100,0,4,69,1,1,2,1,0,0,0,,,,55,16,33,6,40,15,4,22,36,111,4.56,201,57,19815.85
Edmilson Junior,QAT,FW,0.0,1.0,228.0,1,2,3,0,3,0,0,0.43,0x,0,41,33,80,4,25,2,7,43,0,0,0,5,66,11,4,2,0,0,0,1,,,,68,40,25,3,21,47,8,16,38,106,6.21,290,97,23874.51
Edo Kayembe,COD,MF,0.0,0.0,177.0,0,1,2,0,0,2,0,0.1,0x,0,41,35,85,2,0,2,1,0,0,0,0,20,116,20,5,3,0,0,0,0,,,,64,7,37,20,42,22,1,18,37,108,5.34,297,86,20579.44
Edouard Mendy,SEN,GK,0.0,0.0,172.0,0,0,0,0,0,0,0,0.0,0x,0,60,49,82,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,8.0,34.0,25.0,18,0,0,18,15,3,0,0,2,132,1.72,18,2,9883.83
Edson Alvarez,MEX,DF,0.0,0.0,278.0,0,0,2,0,1,1,1,0.19,0x,0,153,138,90,2,50,1,3,0,4,75,0,3,37,13,5,2,1,0,0,0,,,,103,3,29,71,69,34,0,3,36,324,4.8,342,104,28527.89
Egil Selvik,NOR,GK,0.0,0.0,100.0,0,0,0,0,0,0,0,0.0,0x,0,30,19,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,25.0,22.0,6,0,0,6,6,0,0,0,1,49,0.5,5,0,4989.63
Ehsan Haddad,JOR,DF,0.0,1.0,287.0,1,0,1,0,1,0,0,0.03,0x,0,73,54,74,7,29,1,9,78,0,0,0,13,80,18,3,1,0,0,0,0,,,,57,11,30,16,3,54,0,23,48,167,6.44,384,118,30918.71
Ehsan Hajisafi,IRN,DF,0.0,0.0,104.0,0,0,1,0,0,1,0,0.08,0x,0,20,11,55,2,0,1,2,0,1,100,0,1,27,2,2,1,1,0,0,0,,,,15,1,8,6,3,12,1,2,7,47,4.41,134,48,11464.24
El Hadji Malick Diouf,SEN,DF,0.0,0.0,202.0,0,0,0,0,0,0,0,0.0,0x,5,89,74,83,9,33,0,7,71,0,0,0,14,37,5,2,0,0,0,0,0,,,,53,17,17,19,11,42,1,16,23,194,4.77,268,97,21779.39
Eldor Shomurodov,UZB,FW,1.0,0.0,304.0,0,2,4,25,4,0,0,0.17,5.79x,0,72,52,72,1,0,5,4,25,0,0,0,28,96,11,8,4,0,0,0,1,,,,97,45,45,7,69,28,1,68,58,175,5.96,274,149,30198.42
Elias Achouri,TUN,FW,0.0,0.0,58.0,0,1,3,0,0,3,0,0.13,0x,0,8,7,88,0,0,0,0,0,0,0,0,1,19,6,0,1,0,0,0,1,,,,31,17,13,1,16,15,0,3,10,33,6.83,68,40,6477.05
Elias Saad,TUN,FW,0.0,0.0,124.0,0,0,1,0,0,1,0,0.06,0x,1,29,22,76,2,0,1,1,100,0,0,0,6,53,3,1,3,0,0,0,1,,,,45,12,32,1,25,20,2,19,35,76,4.99,199,86,15480.51
Elijah Just,NZL,MF,3.0,0.0,291.0,0,5,7,43,5,2,0,0.86,3.48x,0,99,85,86,1,0,4,5,20,2,50,0,19,152,18,3,2,1,0,0,0,,,,162,36,101,25,100,62,2,35,72,236,6.88,460,178,33430.3
Elisha Owusu,GHA,MF,0.0,0.0,166.0,0,0,0,0,0,0,0,0.0,0x,0,58,50,86,4,25,2,1,0,0,0,0,5,55,10,2,0,0,0,0,0,,,,36,8,9,19,23,13,2,7,41,134,5.07,262,74,18829.07
Elliot Anderson,ENG,MF,0.0,1.0,693.0,1,1,7,0,3,4,2,0.38,0x,3,434,385,89,6,50,1,17,71,10,90,0,27,147,47,7,9,0,0,0,0,,,,328,20,75,233,238,90,2,12,166,836,6.71,851,240,65814.51
Elliot Stroud,SWE,DF,0.0,0.0,183.0,0,0,1,0,1,0,0,0.09,0x,3,49,38,78,6,33,3,6,50,0,0,0,9,61,7,3,1,0,0,0,0,,,,37,9,19,9,10,27,0,10,21,115,6.96,251,94,20520.74
Ellyes Skhiri,TUN,MF,0.0,0.0,267.0,0,0,0,0,0,0,0,0.0,0x,0,109,99,91,0,0,0,3,0,2,100,1,10,40,10,0,1,0,0,0,0,,,,63,2,18,43,53,10,0,7,20,230,6.61,286,59,29334.81
Eloy Room,CUW,GK,0.0,0.0,300.0,0,0,0,0,0,0,0,0.0,0x,0,89,48,54,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,81.0,72.0,9,0,0,9,3,6,0,0,3,160,3.12,15,1,15611.7
Elye Wahi,CIV,FW,0.0,0.0,127.0,0,2,3,0,3,0,0,0.48,0x,0,21,15,71,1,0,0,3,33,0,0,0,5,60,3,0,0,0,0,0,0,,,,56,37,19,0,49,7,3,24,22,55,4.51,154,63,13009.5
Emam Ashour,EGY,MF,2.0,0.0,395.0,0,2,10,20,5,5,1,1.06,1.89x,4,207,176,85,3,0,3,7,57,3,100,0,19,72,12,2,13,0,0,0,0,,,,241,49,128,64,114,127,5,50,85,471,6.48,522,185,42840.52
Emiliano Martinez,ARG,GK,0.0,0.0,794.0,0,0,0,0,0,0,0,0.0,0x,0,211,161,76,0,0,0,8,25,0,0,0,0,0,0,0,0,0,0,0,0,8.0,76.0,64.0,38,0,0,38,21,17,0,0,2,352,2.72,56,12,31299.07
Emiliano Martinez,URU,MF,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Emmanuel Agbadou,CIV,DF,0.0,0.0,308.0,0,1,3,0,1,2,1,0.05,0x,0,154,142,92,0,0,0,1,0,0,0,0,4,28,8,0,0,0,0,0,0,,,,31,0,6,25,17,14,0,5,31,323,4.16,250,72,28516.79
Endrick,BRA,FW,0.0,0.0,146.0,0,0,3,0,2,1,0,0.68,0x,0,20,16,80,1,0,1,4,25,0,0,0,3,53,5,1,1,0,0,0,1,,,,51,36,12,3,44,7,2,18,20,57,4.67,103,57,13958.58
Enner Valencia,ECU,FW,0.0,0.0,311.0,0,6,10,0,9,1,2,1.53,0x,0,40,33,83,1,0,2,1,0,0,0,0,8,91,11,4,7,0,0,0,2,,,,98,56,35,7,64,34,9,42,43,125,5.71,233,108,29489.89
Enzo Fernandez,ARG,MF,2.0,0.0,658.0,0,4,12,17,4,8,2,0.9,2.22x,0,483,448,93,5,40,5,20,75,8,88,0,28,121,14,6,4,0,0,0,1,,,,276,44,104,128,155,121,4,72,125,853,5.44,753,248,60303.56
Eom Jisung,KOR,MF,0.0,0.0,53.0,0,0,0,0,0,0,0,0.0,0x,0,9,9,100,3,67,2,2,100,0,0,0,0,2,0,0,1,0,0,0,0,,,,15,7,6,2,4,11,2,5,3,23,4.64,72,36,6234.99
Eray Coemert,SUI,DF,0.0,0.0,39.0,0,0,0,0,0,0,0,0.0,0x,0,5,5,100,0,0,0,0,0,0,0,0,1,9,1,0,0,0,0,0,0,,,,2,1,0,1,1,1,0,0,2,13,1.0,32,11,3959.81
Eren Elmali,TUR,DF,0.0,0.0,134.0,0,0,0,0,0,0,0,0.0,0x,0,59,52,88,4,25,2,1,100,1,100,0,4,26,3,2,1,1,0,0,0,,,,26,12,11,3,11,15,3,8,30,121,4.45,135,60,14528.21
Eric Davis,PAN,DF,0.0,0.0,14.0,0,0,1,0,0,1,0,0.0,0x,2,7,3,43,3,33,0,2,0,0,0,0,1,1,1,0,1,0,0,0,0,,,,5,1,4,0,2,3,0,2,4,18,4.82,30,18,1809.13
Eric Garcia,ESP,DF,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Eric Smith,SWE,DF,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Erik Lira,MEX,MF,0.0,1.0,391.0,1,0,0,0,0,0,0,0.0,0x,0,199,182,91,2,100,2,2,0,5,100,0,17,81,26,3,4,0,0,0,0,,,,139,4,59,76,105,34,1,11,46,425,5.34,497,137,43502.52
Erling Haaland,NOR,FW,7.0,0.0,537.0,0,12,19,37,18,1,7,4.62,1.51x,0,47,34,72,1,0,1,4,25,0,0,0,11,108,5,5,3,0,0,0,0,,,,73,51,22,0,59,14,8,64,68,171,4.61,375,172,49468.92
Ermedin Demirovic,BIH,FW,0.0,0.0,399.0,0,4,4,0,1,3,0,0.08,0x,0,39,29,74,0,0,1,5,80,0,0,0,19,131,15,11,3,1,0,0,1,,,,106,67,31,8,82,24,3,36,53,112,6.09,375,176,40423.23
Ermin Mahmic,BIH,MF,2.0,0.0,88.0,0,2,4,50,2,2,0,0.34,5.88x,0,16,12,75,1,0,0,0,0,1,100,0,1,41,3,1,1,1,0,0,0,,,,35,13,16,6,26,9,0,6,5,45,5.34,155,57,10657.09
Ernest Nuamah,GHA,FW,0.0,1.0,109.0,1,0,0,0,0,0,0,0.0,0x,0,29,20,69,0,0,2,2,50,1,100,0,2,58,6,2,2,0,0,0,0,,,,22,7,12,3,12,10,2,15,27,74,4.98,148,60,12051.38
Esmir Bajraktarevic,BIH,FW,0.0,0.0,262.0,0,2,3,0,1,2,0,0.11,0x,1,71,58,82,8,0,3,0,0,0,0,0,16,85,8,1,2,0,0,0,0,,,,106,45,48,13,40,66,5,35,61,180,6.49,318,145,28616.79
Evan Ndicka,CIV,DF,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Evann Guessand,CIV,FW,0.0,0.0,27.0,0,0,1,0,1,0,1,0.14,0x,0,5,4,80,0,0,0,0,0,0,0,0,2,9,2,1,0,0,0,0,0,,,,3,2,1,0,3,0,0,8,7,14,2.82,32,14,2736.85
Evidence Makgopa,RSA,FW,0.0,0.0,241.0,0,3,4,0,4,0,2,0.42,0x,0,29,20,69,0,0,0,1,100,0,0,0,15,76,9,1,1,0,0,0,2,,,,43,32,10,1,35,8,3,30,28,77,6.21,319,106,25410.78
Exequiel Palacios,ARG,MF,0.0,0.0,100.0,0,0,0,0,0,0,0,0.0,0x,0,94,89,95,0,0,0,0,0,0,0,0,1,5,1,1,1,0,0,0,0,,,,18,3,4,11,7,11,1,4,21,190,1.0,113,37,10029.01
Ezri Konsa,ENG,DF,0.0,0.0,637.0,0,1,2,0,2,0,1,0.26,0x,0,440,423,96,3,0,1,3,100,3,67,0,14,58,16,7,11,0,0,0,0,,,,125,4,8,113,66,59,0,3,54,859,5.7,549,160,57635.86
Fabian Balbuena,PAR,DF,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,1.55,2,1,90.04
Fabian Rieder,SUI,MF,0.0,0.0,332.0,0,2,7,0,4,3,0,1.09,0x,8,87,71,82,16,0,2,10,40,2,100,0,19,210,30,3,6,0,0,0,0,,,,172,48,110,14,106,66,7,56,82,232,6.04,566,179,38929.3
Fabian Ruiz,ESP,MF,1.0,0.0,301.0,0,2,8,13,4,4,1,1.33,0.75x,0,246,220,89,7,29,0,11,64,3,100,0,7,67,6,1,3,0,0,0,0,,,,262,38,116,108,174,88,2,36,77,534,7.02,433,98,34605.27
Fabinho,BRA,MF,0.0,0.0,95.0,0,0,1,0,1,0,1,0.02,0x,0,43,42,98,0,0,0,0,0,0,0,0,1,24,5,4,0,1,0,0,0,,,,34,0,12,22,29,5,0,1,11,93,3.79,117,36,9907.51
Facundo Medina,ARG,DF,0.0,1.0,283.0,1,0,0,0,0,0,0,0.0,0x,0,139,131,94,4,50,0,1,100,0,0,0,12,58,14,3,2,1,0,0,1,,,,124,41,33,50,25,99,5,19,41,281,3.96,330,104,29270.89
Facundo Pellistri,URU,FW,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Fahad Talib,IRQ,GK,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Fares Chaibi,ALG,MF,0.0,0.0,403.0,0,3,9,0,4,5,1,0.64,0x,4,244,220,90,7,0,3,10,50,3,100,0,30,140,16,3,2,1,0,0,1,,,,202,38,84,80,121,81,4,46,102,535,6.76,549,177,45534.2
Fares Ghedjemis,ALG,FW,0.0,0.0,2.0,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,1.62,5,4,300.02
Farrukh Sayfiev,UZB,DF,0.0,0.0,55.0,0,0,0,0,0,0,0,0.0,0x,0,14,12,86,1,0,1,2,100,0,0,0,1,5,0,0,2,0,0,0,0,,,,5,2,2,1,1,4,3,4,13,29,2.07,71,31,5770.14
Federico Valverde,URU,MF,0.0,0.0,272.0,0,2,10,0,3,7,0,0.5,0x,2,120,98,82,8,0,2,12,67,5,100,0,19,76,8,1,0,0,0,0,0,,,,82,24,33,25,37,45,3,32,60,281,5.78,228,99,25916.6
Federico Vinas,URU,FW,0.0,0.0,211.0,0,3,6,0,6,0,5,0.39,0x,0,29,18,62,0,0,0,1,0,0,0,0,12,63,6,3,3,0,0,0,3,,,,106,58,42,6,80,26,4,21,29,82,5.73,195,102,20225.71
Felix Nmecha,GER,MF,1.0,1.0,299.0,1,3,8,13,3,5,0,0.49,2.04x,0,131,120,92,2,0,5,4,75,1,0,0,9,74,21,3,3,0,0,0,0,,,,113,38,47,28,73,40,3,26,66,313,6.64,442,141,33325.14
Felix Torres,ECU,DF,0.0,0.0,12.0,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,1.15,5,0,989.25
Feras Albrikan,KSA,FW,0.0,0.0,262.0,0,0,0,0,0,0,0,0.0,0x,0,51,32,63,0,0,0,5,0,0,0,0,11,150,11,2,3,1,0,0,0,,,,51,27,23,1,33,18,2,38,41,108,6.49,328,123,28286.37
Ferdi Kadioglu,TUR,DF,0.0,0.0,179.0,0,0,1,0,0,1,0,0.04,0x,0,175,161,92,4,0,1,9,78,1,0,0,0,16,7,0,3,0,0,0,0,,,,97,30,33,34,36,61,2,32,41,353,4.36,218,101,19552.43
Fernando Muslera,URU,GK,0.0,0.0,261.0,0,0,0,0,0,0,0,0.0,0x,0,71,57,80,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,41.0,34.0,28,0,0,28,19,9,0,0,0,144,2.5,22,7,11069.12
Ferran Torres,ESP,FW,0.0,1.0,274.0,1,2,11,0,10,1,4,2.28,0x,0,76,58,76,5,0,2,11,45,0,0,0,8,80,11,5,2,1,0,0,2,,,,195,94,74,27,161,34,10,81,57,218,6.46,289,155,28737.7
Fidel Escobar,PAN,DF,0.0,0.0,98.0,0,0,0,0,0,0,0,0.0,0x,0,27,20,74,1,100,0,1,100,1,0,0,2,16,5,1,0,0,0,0,0,,,,8,2,3,3,1,7,0,1,20,52,1.93,106,45,9536.99
Findlay Curtis,SCO,FW,0.0,0.0,21.0,0,0,0,0,0,0,0,0.0,0x,0,2,2,100,2,0,1,1,100,0,0,0,1,12,0,1,0,1,0,0,0,,,,8,5,3,0,2,6,0,2,3,9,5.61,35,16,2919.32
Finn Surman,NZL,DF,1.0,0.0,306.0,0,1,2,50,2,0,2,0.24,4.18x,0,145,135,93,0,0,0,1,100,0,0,0,5,28,11,4,1,0,0,0,0,,,,60,0,0,60,21,39,0,4,24,310,6.05,310,103,30931.08
Firas Chaouat,TUN,FW,0.0,0.0,66.0,0,0,0,0,0,0,0,0.0,0x,0,7,7,100,0,0,0,0,0,0,0,0,0,18,0,1,2,0,0,0,3,,,,25,22,3,0,20,5,1,5,5,14,6.2,83,35,6946.94
Fiston Mayele,COD,FW,1.0,0.0,55.0,0,1,5,20,4,1,1,0.72,1.39x,0,11,7,64,0,0,0,0,0,0,0,0,3,23,0,1,1,0,0,0,1,,,,21,13,8,0,17,4,2,16,18,35,3.03,72,35,5777.74
Florian Grillitsch,AUT,MF,0.0,0.0,102.0,0,0,0,0,0,0,0,0.0,0x,0,60,55,92,1,0,0,5,80,0,0,0,0,49,11,3,1,0,0,0,0,,,,31,2,10,19,22,9,0,3,16,133,3.44,142,41,11799.4
Florian Wiegele,AUT,GK,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Florian Wirtz,GER,MF,0.0,3.0,405.0,3,1,10,0,5,5,0,0.97,0x,5,271,223,82,12,42,14,15,67,2,100,0,17,123,18,1,3,0,0,0,1,,,,218,71,100,47,96,122,4,117,99,599,6.85,653,229,46415.88
