Player,Country,Position,Goals,Minutes Played,Assists,Attempts On Target,Attempts At Goal,Attempts At Goal Conv. Rate (%),Attempts Inside the Penalty Area,Attempts Outside the Penalty Area,Headed Attempts at Goal,xG,xG Efficiency,Corners,Passes,Passes Completed,Passing Accuracy (%),Crosses,Crossing Accuracy (%),Take-Ons Completed,Defensive Linebreaks Attempted,Defensive Linebreaks Acc (%),Switches of Play Attempted,Switches of Play Acc (%),Own Goals,Forced Turnovers,Defensive Pressures Applied,Defensive Pressures Directly Applied,Fouls Against,Fouls For,Yellow Cards,Red Cards,Indirect Red Cards,Offsides,Goalkeeper Saves,Goalkeeper Actions Inside the Penalty Area,Goalkeeper Actions Outside the Penalty Area,Offers To Receive,Offers In Behind,Offers In Between,Offers In Front,Offers Inside Team Shape,Offers Outside Team Shape,Receptions In Behind,Receptions Between Midfield And Defensive Line,Receptions Under Pressure,Player Involvements,Average Speed (km/h),High Speed Running,Sprints,Total Distance (m),Attacking Impact Score,Passing Impact Score,Defensive Impact Score,Movement Impact Score,Goalkeeping Impact Score
Marc Pubill,ESP,DF,0.0,3.0,0,0,0,0,0,0,0,0.0,0.0,0,2,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,4,1.04,6,3,455.66,-1.3243189297858935,-1.6365531372146325,-1.6319565631539041,-3.077682365228865,
Marcel Sabitzer,AUT,MF,1.0,412.0,0,2,5,20,1,4,0,0.46,2.19,9,126,94,75,30,33,3,16,69,1,100,0,26,137,10,2,3,1,0,0,1,,,,121,47,66,8,48,73,7,80,76,324,6.03,488,233,41363.96,2.4966799062094363,4.237249451214579,2.638473297257012,4.917334833872711,
Marcio Rosa,CPV,GK,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.6319565631539041,-3.2142549945655188,-1.2038479457474982
Marco Friedl,AUT,DF,0.0,30.0,0,0,0,0,0,0,0,0.0,0.0,0,31,30,97,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,,,,1,0,0,1,0,1,0,1,0,64,1.36,30,12,2757.1,-1.3243189297858935,-1.4203251489489692,-1.5260388157850056,-2.828265850193888,
Marco Pasalic,CRO,FW,0.0,114.0,0,2,3,0,3,0,0,0.52,0.0,1,37,23,62,12,8,8,9,89,2,50,0,5,40,7,0,2,0,0,0,2,,,,42,21,17,4,9,33,6,33,32,115,5.44,142,82,12958.46,0.4615498369548251,2.089522375863738,-0.10186666587174864,0.2643910648655028,
Marcos Llorente,ESP,DF,0.0,217.0,1,0,0,0,0,0,0,0.0,0.0,0,152,142,93,6,33,1,5,80,0,0,0,12,43,12,2,1,0,0,0,0,,,,57,19,16,22,15,42,3,22,35,324,2.77,218,94,22236.39,-0.9160271656025611,1.313308152433713,0.5034956089832879,0.5536328142408079,
Marcos Senesi,ARG,DF,0.0,100.0,0,0,2,0,2,0,1,0.84,0.0,0,73,70,96,0,0,0,1,0,0,0,0,0,3,2,0,2,0,0,0,0,,,,12,0,1,11,2,10,1,1,7,155,0.94,86,25,9406.52,0.12624055084442737,-0.9954351802936522,-1.1314140291769696,-2.1495736784041233,
Marcus Holmgren Pedersen,NOR,DF,1.0,273.0,0,1,1,100,1,0,0,0.16,6.1,0,107,87,81,7,43,0,4,0,0,0,0,7,50,12,3,1,0,0,0,0,,,,62,25,18,19,15,47,4,15,33,213,4.34,322,137,29767.17,1.5234261189736855,0.10574864788556215,0.26948526118209204,1.1345636234511274,
Marcus Rashford,ENG,FW,1.0,209.0,0,3,9,11,7,2,2,0.94,1.06,0,84,73,87,16,13,5,16,75,1,100,0,1,47,3,5,1,0,0,0,1,,,,120,70,37,13,30,90,13,58,63,226,4.57,232,117,22644.71,3.889530672654836,3.3373954155644454,-0.6919898968734082,3.552432088090299,
Marcus Thuram,FRA,FW,0.0,2.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,3,0,0,3,0,0,0,0,0,1.18,5,2,295.8,-1.3243189297858935,-2.4642577606874845,-1.6319565631539041,-3.013473255397471,
Marin Pongracic,CRO,DF,0.0,311.0,0,0,1,0,1,0,1,0.05,0.0,0,200,182,91,0,0,0,1,0,1,100,0,6,13,7,3,0,0,0,0,0,,,,17,2,1,14,11,6,0,2,28,423,4.19,280,102,28983.18,-0.7644149720894012,0.8936041107713991,-0.6828556908415514,-0.3378946709039101,
Mario Pasalic,CRO,MF,0.0,158.0,0,1,4,0,1,3,1,0.36,0.0,0,50,45,90,0,0,0,1,100,0,0,0,7,23,8,2,0,0,0,0,1,,,,31,3,17,11,23,8,0,9,22,119,6.43,218,78,16317.24,0.636821767471034,-0.4466271986981508,-0.44813515465905784,-0.576526545121334,
Mark Flekken,NED,GK,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.6319565631539041,-3.2142549945655188,-1.2038479457474982
Mark Mckenzie,USA,DF,0.0,104.0,0,0,0,0,0,0,0,0.0,0.0,0,51,47,92,0,0,0,1,0,0,0,0,2,9,1,1,1,0,0,0,0,,,,2,0,0,2,1,1,0,0,8,104,1.3,148,50,11338.0,-1.3243189297858935,-1.218055777987802,-1.173945020786909,-2.2243011644408894,
Markhus Lacroix,HAI,DF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.6319565631539041,-3.2142549945655188,
Marko Arnautovic,AUT,FW,2.0,173.0,0,3,3,67,3,0,0,1.31,1.53,0,32,25,78,1,0,0,0,0,0,0,0,5,35,1,3,1,1,0,0,5,,,,25,17,8,0,19,6,5,25,30,75,5.44,156,57,15762.88,3.1866447818241164,-1.533836336095721,-0.6988872281262796,-0.3999342599481985,
Marko Farji,IRQ,FW,0.0,62.0,0,0,0,0,0,0,0,0.0,0.0,0,11,7,64,2,50,1,1,100,0,0,0,2,34,2,0,2,0,0,0,0,,,,40,19,19,2,9,31,2,5,17,36,4.55,96,30,6975.47,-1.3243189297858935,-0.3733325063347218,-0.6632660642776493,-1.0942123118466953,
Marko Stamenic,NZL,MF,0.0,302.0,0,0,3,0,1,2,0,0.09,0.0,0,171,156,91,2,50,2,9,44,1,100,0,10,67,18,4,0,1,0,0,0,,,,98,6,26,66,66,32,0,9,53,364,6.52,415,133,32898.29,-0.3689115128469793,2.41589794549669,0.8423141895859848,2.1316169500328805,
Marquinhos,BRA,DF,0.0,520.0,0,0,2,0,2,0,1,0.21,0.0,0,380,367,97,1,100,0,4,75,6,100,0,11,45,12,0,2,0,0,0,1,,,,59,3,2,54,32,27,0,3,30,785,5.68,453,141,49331.59,-0.3640705350921742,5.2185051497513655,0.6353987117028073,1.87254991491097,
